Actual,Predicted
0.477,0.7191228416019138
0.458,1.764016570662417
5.00001,2.709658833431729
2.186,2.8389259301839296
2.78,2.6046572518103144
1.587,2.0117536732498955
1.982,2.645500049376656
1.575,2.1687553212871076
3.4,2.740746441138509
4.466,3.9156147250324844
1.232,0.9389615628098258
2.539,1.9012217664440774
2.151,1.7587117811025552
2.205,2.2501597954689774
2.198,2.540869758213864
1.362,1.9174049020085806
1.784,2.3864829489271173
1.875,2.0109303249640087
1.398,2.2274093366609833
1.375,1.1185315173418329
4.25,2.9331307915130846
4.056,2.6609362120341156
1.388,1.8776690795224882
5.00001,3.3519182522662563
1.621,2.2446419658191936
0.514,0.9014366008493617
1.513,1.8449955988427023
0.948,1.636950296277823
2.041,1.9188916718833664
3.615,3.2542643926510006
0.851,1.571690663724681
1.384,1.126822278835871
1.375,2.057565865228169
4.65,3.6881241612354607
2.718,2.413548419387162
2.394,2.553974715462084
3.409,2.797544386144048
1.504,1.8539045625657427
1.281,1.0815874645092314
1.56,1.852251800054428
2.581,3.098238257132334
0.905,1.4246318772125268
0.713,1.0443323247164802
2.197,2.060511469662774
1.51,1.7597450934273244
2.901,1.8962650233720624
1.42,2.0164855994381417
2.915,1.8442863810169179
2.554,2.071147979571663
0.981,1.4427760330352235
2.519,2.403725497017305
1.621,1.7266098459317187
1.294,1.8725118117002109
0.894,0.7256364130570536
1.505,1.878612871121294
1.338,2.088216471589771
0.804,0.8460960843296683
2.111,2.4622325775205325
2.556,2.494681680632629
2.145,2.1889535134437854
5.00001,2.539225089244644
2.021,1.876976336675835
0.815,1.1190117144006704
0.988,1.299780701195403
2.819,2.986374719785111
1.846,2.1845794811578534
2.547,1.7890926159450642
1.431,1.9421512802291825
1.625,1.5668682865682624
1.426,1.7256066369383563
0.859,0.1946637163619811
1.869,2.6930807917206883
0.713,1.2409240286555638
1.744,1.9532269937099163
2.25,2.1936236509613116
1.465,2.008220046668881
4.05,3.3269794345442203
1.896,2.0801084285974483
1.644,2.4089944439590742
3.375,1.8382306119047342
0.725,0.7684447087915478
1.438,1.6140949346811215
1.6,1.5899636983746166
1.181,1.3726385713367406
3.74,3.449662240645439
2.027,2.461816601441503
0.966,1.4954308435901802
0.658,0.7913581855528111
1.674,1.60778400827501
1.798,1.93604208958106
0.967,1.884167677394831
2.661,2.4124432536529863
0.911,1.6261902585257793
0.498,0.7606505487996107
0.907,0.9750410182600366
1.158,1.4924054693282847
2.786,2.68258681408038
2.5,1.6620203205100252
0.85,1.8133871560519612
1.77,2.1204431972629263
0.997,1.5177695652370116
3.576,4.096001257631418
4.75,2.626518307988063
2.736,3.0304933046638114
1.824,2.2131312474245486
1.578,1.8593113575320854
1.938,1.6427450555800938
3.336,2.824612248253323
2.646,2.361146391650513
0.584,1.232033510979832
1.734,1.9289923732176453
2.148,2.5191470116783177
2.0,4.94613737925482
4.228,3.6668518292626002
0.936,1.463828771686786
1.222,2.0592679267267773
1.676,2.115746266185093
3.036,2.3142217193554524
2.693,2.4524461451492097
2.644,2.3075593647468664
1.91,1.7407607793968396
1.538,2.2100245441731245
2.755,2.980787035573588
2.088,1.5888280489837014
1.423,1.646760589977107
0.635,1.123467968013193
0.958,0.7616710856200646
2.317,1.9377168927853863
2.215,1.9968913303591291
0.895,1.472731242681117
2.26,2.712105705065042
5.00001,6.801288273985442
2.702,2.8644523205024868
0.596,1.183781469358284
1.933,2.031418474481169
1.336,1.2912917551629393
1.619,2.5815820695370837
3.575,2.4562543339604765
2.765,2.266748005048405
4.107,2.7027909217456783
3.75,1.6545461096332894
1.352,1.6799270980634864
1.672,1.7917488631281473
2.52,1.8414144115505848
3.084,3.82982024958158
1.721,1.5987181856194135
5.00001,3.4049455363865624
1.938,1.724231605169794
1.052,0.4660849883487339
0.908,1.1812249138037374
1.688,1.5096587656431746
1.621,1.4599839081560793
1.612,2.2608464021645567
1.375,1.649812208069727
2.893,2.506424683699482
2.787,2.79698599683367
1.617,2.2407446373688975
2.31,2.6490662959195532
0.875,0.8820853140279616
0.957,1.3508426913940068
2.406,2.824917366676764
2.141,1.9690877675022735
4.286,3.6766676443066917
1.25,1.8415666791188596
0.764,0.34446708066536136
2.638,3.2177459861892515
1.204,2.035308697586665
1.091,1.1309081273245263
1.706,1.8397285813734894
2.574,2.8800496443554637
3.2,2.9119966236498795
2.896,2.208643384443402
3.073,2.735915570169749
3.255,2.994953051566796
0.584,0.38055099686833094
0.485,-0.5910847565069961
2.167,1.3597694128446318
0.979,1.4071900671098267
1.586,1.4578148839968765
0.69,0.9321247706878513
3.223,3.0485824303504447
4.677,3.4160187846336862
1.63,1.9753486939424378
2.871,2.718639130160846
0.546,0.5792985590659769
0.904,1.1762920799672534
1.555,1.7833852941907502
1.75,1.712539374090522
